"FullName","Length","LastWriteTime"
"C:\Users\alec\Desktop\MSAPP\dashboard_rich_bottom_target_KEEP.msapp","388120","5/4/2026 9:30:49 AM"
"C:\Users\alec\Desktop\MSAPP\listscreen_typefix_KEEP.msapp","381420","5/3/2026 6:54:52 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_typefix_test_KEEP.msapp","381420","5/3/2026 6:54:52 PM"
"C:\Users\alec\Desktop\MSAPP\dashboard_preview_panel_BROKEN_KEEP.msapp","383018","5/3/2026 5:25:22 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_phaseB_BROKEN_KEEP.msapp","380562","5/3/2026 5:12:06 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_phaseA31_test_KEEP.msapp","377893","5/3/2026 2:06:18 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_phaseA3_test_KEEP.msapp","377918","5/3/2026 2:02:01 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_phaseA2_test_KEEP.msapp","372281","5/3/2026 1:49:29 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_phaseA_test_KEEP.msapp","370843","5/3/2026 1:43:54 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_compat2_test_KEEP.msapp","370038","5/3/2026 12:38:23 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_compat2_test_PHASEA_KEEP.msapp","370038","5/3/2026 12:38:23 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_polish2_test_KEEP.msapp","367039","5/3/2026 12:06:57 PM"
"C:\Users\alec\Desktop\MSAPP\listscreen_polish_test_KEEP.msapp","366742","5/2/2026 11:57:14 PM"
"C:\Users\alec\Desktop\MSAPP\app_startscreen_test_KEEP.msapp","366438","5/2/2026 11:26:20 PM"
